time,steer,throttle,turn_flag
1772365972.0672097,0.35,0.04,1
1772365982.4986055,0.0,0.04,0
1772365992.9281123,0.0,0.04,0
1772366003.4492707,0.0,0.04,0
1772366013.8772347,0.0,-0.04,0
1772366024.307157,0.0,-0.04,0
1772366034.787887,0.0,-0.04,0
1772366045.287304,0.0,-0.04,0
1772366055.705386,0.0,-0.04,0
1772366066.1307108,0.0,-0.04,0
1772366076.5789213,0.0,-0.04,0
1772366087.0007784,0.0,-0.04,0
1772366097.430961,0.0,-0.04,0
1772366107.890032,0.0,-0.04,0
1772366118.3125293,0.0,-0.04,0
1772366128.7303052,0.0,-0.04,0
1772366139.1573203,0.0,-0.04,0
1772366149.6580622,0.0,-0.04,0
1772366160.0825572,0.0,-0.04,0
1772366170.5145843,0.0,-0.04,0
1772366180.9460428,0.0,-0.04,0
1772366191.363153,0.0,-0.04,0
1772366201.7926385,0.0,-0.04,0
1772366212.3375373,0.0,-0.04,0
1772366222.8758276,0.0,-0.04,0
1772366233.40523,0.0,-0.04,0
1772366244.390973,0.0,-0.04,0
1772366254.858596,0.0,-0.04,0
1772366265.2864835,0.0,-0.04,0
1772366275.7071044,0.0,-0.04,0
1772366286.145821,0.0,-0.04,0
1772366296.659014,0.0,-0.04,0
1772366307.0847127,0.0,-0.04,0
1772366317.6960385,0.0,-0.04,0
1772366328.3435097,0.0,-0.04,0
1772366338.8043983,0.0,-0.04,0
1772366349.22485,0.0,-0.04,0
1772366359.7280731,0.0,-0.04,0
1772366370.22544,0.0,-0.04,0
1772366380.7998688,0.0,-0.04,0
1772366391.4231358,0.0,-0.04,0
1772366401.8746696,0.0,-0.04,0
1772366412.3928716,0.0,-0.04,0
1772366422.930701,0.0,-0.04,0
1772366433.4280493,0.0,-0.04,0
1772366443.8851707,0.0,-0.04,0
1772366454.3056757,0.0,-0.04,0
1772366464.7227952,0.0,-0.04,0
1772366475.1906025,0.0,-0.04,0
